game_id,date,home_team,away_team,home_score,away_score,winner
0,2026-07-29 16:32:56.613596,Lakers,Celtics,115,117,Celtics
1,2026-07-28 16:32:56.613608,Warriors,Suns,105,108,Suns
2,2026-07-27 16:32:56.613610,Heat,Bulls,111,90,Heat
3,2026-07-26 16:32:56.613611,Bulls,Heat,94,104,Heat
4,2026-07-25 16:32:56.613612,Suns,Lakers,111,95,Suns
5,2026-07-24 16:32:56.613613,Celtics,Warriors,92,107,Warriors
6,2026-07-23 16:32:56.613614,Lakers,Suns,117,100,Lakers
7,2026-07-22 16:32:56.613615,Warriors,Celtics,114,96,Warriors
8,2026-07-21 16:32:56.613616,Heat,Lakers,111,115,Lakers
9,2026-07-20 16:32:56.613617,Bulls,Warriors,118,99,Bulls
