game_id,date,player,team,points,rebounds,assists,steals,blocks
0,2026-07-29 16:32:56.613596,LeBron James,Lakers,23,6,6,1,1
0,2026-07-29 16:32:56.613596,Jayson Tatum,Celtics,35,4,3,2,2
1,2026-07-28 16:32:56.613608,Steph Curry,Warriors,31,13,9,3,0
1,2026-07-28 16:32:56.613608,Devin Booker,Suns,28,6,7,3,0
2,2026-07-27 16:32:56.613610,Jimmy Butler,Heat,12,6,9,4,2
2,2026-07-27 16:32:56.613610,Zach LaVine,Bulls,21,2,11,2,0
3,2026-07-26 16:32:56.613611,Zach LaVine,Bulls,28,7,10,0,0
3,2026-07-26 16:32:56.613611,Jimmy Butler,Heat,20,2,4,3,0
4,2026-07-25 16:32:56.613612,Devin Booker,Suns,17,2,8,1,2
4,2026-07-25 16:32:56.613612,LeBron James,Lakers,31,11,9,0,0
5,2026-07-24 16:32:56.613613,Jayson Tatum,Celtics,18,4,2,2,2
5,2026-07-24 16:32:56.613613,Steph Curry,Warriors,28,5,11,3,1
6,2026-07-23 16:32:56.613614,LeBron James,Lakers,39,12,3,1,0
6,2026-07-23 16:32:56.613614,Devin Booker,Suns,27,12,3,2,1
7,2026-07-22 16:32:56.613615,Steph Curry,Warriors,20,6,5,3,2
7,2026-07-22 16:32:56.613615,Jayson Tatum,Celtics,36,6,2,0,1
8,2026-07-21 16:32:56.613616,Jimmy Butler,Heat,23,13,10,4,1
8,2026-07-21 16:32:56.613616,LeBron James,Lakers,30,10,7,3,2
9,2026-07-20 16:32:56.613617,Zach LaVine,Bulls,24,6,3,1,1
9,2026-07-20 16:32:56.613617,Steph Curry,Warriors,15,7,10,0,2
